lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
42,-118.5,10.2927,0.812777,0.112224,0.0425405,Ps,10.8165,0.0641484,0.0377445,0.00181928,Sp
42.25,-118.5,10.0608,0.620107,0.0827241,0.0392874,Ps,10.7636,0.160691,0.0395184,0.00292145,Sp
42.5,-118.5,9.59769,0.568664,0.113543,0.0424862,Ps,10.4553,0.224701,0.0456765,0.00248534,Sp
42.75,-118.5,9.02017,0.458623,0.121828,0,Ps,10.1352,0.127677,0.0456765,0.00140372,Sp
43,-118.5,9.64075,0.380479,0.13698,0.05931,Ps,9.87387,0.159199,0.0445211,0.00115623,Sp
43.25,-118.5,9.76644,0.319884,0.173055,0.0769488,Ps,9.49393,0.158862,0.0465298,0.00261229,Sp
43.5,-118.5,9.74828,0.376503,0.170993,0.0816711,Ps,9.46679,0.126669,0.0462828,0.00372007,Sp
43.75,-118.5,9.77252,0.303762,0.13348,0.0831061,Ps,9.72795,0.156971,0.0375549,0.00430215,Sp
44,-118.5,9.86739,0.367291,0.117859,0.0762919,Ps,9.88974,0.814458,0.0341532,0.00405412,Sp
44.25,-118.5,9.71346,0.429441,0.13482,0.0804269,Ps,12.1241,0.718251,0.0275732,0.00325944,Sp
44.5,-118.5,9.66849,0.500393,0.134787,0.0712799,Ps,11.9832,0.594133,0.028608,0.00357372,Sp
44.75,-118.5,9.71763,0.429979,0.110024,0.0540023,Ps,10.9974,0.0936146,0.0334541,0.00435057,Sp
45,-118.5,10.2551,0.428834,0.0839708,0.0528226,Ps,10.9799,0.0621114,0.0348318,0.00298251,Sp
33,-118.25,6.64647,0.286518,0.121488,0.05265,Ps,12.7049,0.159094,0.0319841,0.00437846,Sp
33.25,-118.25,6.82472,0.307004,0.0972037,0.0429239,Ps,12.795,0.223849,0.0279171,0.00349856,Sp
33.5,-118.25,7.15715,0.373231,0.101377,0.0415224,Ps,12.4688,0.224762,0.0293777,0.00244206,Sp
33.75,-118.25,7.8437,0.440297,0.184662,0.0544273,Ps,12.4447,0.0962267,0.0362867,0.00387784,Sp
34,-118.25,8.28994,0.378382,0.131986,0.0598429,Ps,12.31,0.0947504,0.0417907,0.00243463,Sp
34.25,-118.25,8.40355,0.32316,0.108687,0.0614147,Ps,12.0579,0.187296,0.0395699,0.00332963,Sp
